,Bird Species,Count,Location,Time Period
166,Olive-backed sunbird,1,"Banded Woodpecker ---Prince George's Park, B1, next to carpark",1044
167,Black-naped oriole,1,"Banded Woodpecker ---Prince George's Park, B1, next to carpark",1044
168,Rock pigeon,1,"Banded Woodpecker ---Prince George's Park, B1, next to carpark",1044
169,Yellow-vented bulbul,0,"Banded Woodpecker ---Prince George's Park, B1, next to carpark",1044
170,Javan myna,1,"Banded Woodpecker ---Engineering Drive 3, behind LT6",1138
171,Olive-backed sunbird,1,"Banded Woodpecker ---Engineering Drive 3, behind LT6",1138
172,Black-naped oriole,0,"Banded Woodpecker ---Engineering Drive 3, behind LT6",1138
173,Rock pigeon,0,"Banded Woodpecker ---Engineering Drive 3, behind LT6",1138
174,Yellow-vented bulbul,0,"Banded Woodpecker ---Engineering Drive 3, behind LT6",1138
175,Javan myna,1,Banded Woodpecker ---Carpark outside Raffles Comm hall,1200
176,Olive-backed sunbird,2,Banded Woodpecker ---Carpark outside Raffles Comm hall,1200
177,Black-naped oriole,1,Banded Woodpecker ---Carpark outside Raffles Comm hall,1200
178,Rock pigeon,0,Banded Woodpecker ---Carpark outside Raffles Comm hall,1200
179,Yellow-vented bulbul,0,Banded Woodpecker ---Carpark outside Raffles Comm hall,1200
180,Javan myna,0,Banded Woodpecker ---Carpark outside Engineering Auditorium,1217
181,Olive-backed sunbird,5,Banded Woodpecker ---Carpark outside Engineering Auditorium,1217
182,Black-naped oriole,0,Banded Woodpecker ---Carpark outside Engineering Auditorium,1217
183,Rock pigeon,0,Banded Woodpecker ---Carpark outside Engineering Auditorium,1217
184,Yellow-vented bulbul,0,Banded Woodpecker ---Carpark outside Engineering Auditorium,1217
185,Javan myna,1,Collared Kingfisher---Carpark next to Engineering Auditorium,0927
186,Olive-backed sunbird,0,Collared Kingfisher---Carpark next to Engineering Auditorium,0927
187,Black-naped oriole,0,Collared Kingfisher---Carpark next to Engineering Auditorium,0927
188,Rock pigeon,0,Collared Kingfisher---Carpark next to Engineering Auditorium,0927
189,Yellow-vented bulbul,0,Collared Kingfisher---Carpark next to Engineering Auditorium,0927
190,Javan myna,0,Collared Kingfisher---Grass patch beside Ventus,0950
191,Olive-backed sunbird,2,Collared Kingfisher---Grass patch beside Ventus,0950
192,Black-naped oriole,0,Collared Kingfisher---Grass patch beside Ventus,0950
193,Rock pigeon,0,Collared Kingfisher---Grass patch beside Ventus,0950
194,Yellow-vented bulbul,1,Collared Kingfisher---Grass patch beside Ventus,0950
195,Javan myna,1,Collared Kingfisher---Walkway between Ventus and Kent Ridge Terminal,1005
196,Olive-backed sunbird,2,Collared Kingfisher---Walkway between Ventus and Kent Ridge Terminal,1005
197,Black-naped oriole,0,Collared Kingfisher---Walkway between Ventus and Kent Ridge Terminal,1005
198,Rock pigeon,0,Collared Kingfisher---Walkway between Ventus and Kent Ridge Terminal,1005
199,Yellow-vented bulbul,1,Collared Kingfisher---Walkway between Ventus and Kent Ridge Terminal,1005
200,Javan myna,0,Collared Kingfisher---NUS Carpark 14,1020
201,Olive-backed sunbird,1,Collared Kingfisher---NUS Carpark 14,1020
202,Black-naped oriole,0,Collared Kingfisher---NUS Carpark 14,1020
203,Rock pigeon,0,Collared Kingfisher---NUS Carpark 14,1020
204,Yellow-vented bulbul,0,Collared Kingfisher---NUS Carpark 14,1020
205,Javan myna,3,Collared Kingfisher---Grass patch betweem AS8 and AS2,1036
206,Olive-backed sunbird,1,Collared Kingfisher---Grass patch betweem AS8 and AS2,1036
